row_id;country;is_urban;age;female;married;religion;relationship_to_hh_head;education_level;can_calc_percents;employment_type_last_year;income_government_last_year;income_own_business_last_year;num_times_borrowed_last_year;advanced_phone_use;active_bank_user;cash_property_savings;has_insurance;;borrowed_for_emergency_last_year;borrowed_for_daily_expenses_last_year;can_call;can_text;can_use_internet;can_make_transaction;phone_ownership;has_investment;formal_savings (Y)
0;F;False;57;True;True;X;Father/Mother;3;True;salaried;True;False;1;True;False;False;False;;False;False;True;True;True;True;2;False;False
1;C;False;40;False;True;P;Head;0;False;salaried;False;False;1;False;False;False;False;;False;False;False;False;False;False;2;False;True
2;I;False;35;True;True;Q;Spouse;1;False;not_working;False;False;1;False;False;True;False;;False;True;True;True;False;False;2;False;False
3;I;True;19;True;False;Q;Son/Daughter;3;False;salaried;False;False;0;False;False;False;False;;False;False;True;False;False;False;1;False;False
4;A;False;61;True;True;Q;Father/Mother;0;False;not_working;False;False;1;False;False;False;False;;False;True;False;False;False;False;1;False;False
5;A;True;16;True;False;Q;Son/Daughter;2;False;not_working;True;False;1;False;False;False;False;;True;True;True;True;True;True;1;False;False
6;F;False;40;False;True;Q;Head;0;False;self_employed;False;False;0;False;False;True;False;;False;False;False;False;False;False;0;True;False
7;C;False;27;True;True;P;Spouse;0;False;not_working;False;False;0;False;False;False;False;;False;False;False;False;False;False;0;False;True
8;A;True;35;False;True;Q;Head;3;True;salaried;False;False;0;True;True;True;False;;False;False;True;True;True;True;2;True;True
9;J;False;72;True;False;X;Head;1;False;self_employed;False;False;2;False;False;False;False;;False;False;False;False;False;False;2;False;True
10;C;False;22;False;True;P;Sister/Brother;0;False;not_working;False;False;0;False;True;False;False;;False;False;False;False;False;False;2;False;False
11;F;False;27;False;False;Q;Father/Mother;3;True;other;True;False;0;True;False;False;False;;False;False;True;True;True;False;2;False;False
12;I;False;45;False;True;Q;Head;3;False;salaried;False;False;0;False;True;False;False;;False;False;True;True;False;False;0;False;False
13;G;False;36;False;True;X;Head;2;False;self_employed;False;True;1;False;False;False;True;;False;False;True;True;True;True;2;True;True
14;C;False;62;False;True;Q;Head;0;False;irregular_seasonal;True;False;0;False;False;False;True;;False;False;False;False;False;False;0;False;True
15;G;False;21;False;False;X;Other;2;False;not_working;False;False;2;True;False;True;True;;False;False;True;True;True;True;2;False;True
16;A;False;69;False;True;Q;Head;1;False;not_working;False;False;0;False;False;True;False;;False;False;False;False;False;False;2;False;False
17;G;False;52;True;False;X;Head;0;False;self_employed;False;True;3;True;False;False;False;;False;False;True;False;False;True;2;True;True
18;J;False;29;True;True;X;Spouse;1;True;not_working;False;False;0;False;False;False;False;;False;False;False;False;False;False;0;False;False
19;C;False;60;True;True;P;Spouse;0;True;not_working;False;False;1;False;False;False;True;;False;False;False;False;False;False;0;False;False
20;D;False;35;True;True;X;Spouse;1;True;self_employed;False;True;2;False;False;False;False;;False;False;True;True;False;False;2;False;False
21;I;False;29;True;True;Q;Head;0;False;not_working;False;False;0;False;False;False;False;;False;False;False;False;False;False;0;False;False
22;I;False;18;False;False;Q;Son/Daughter;2;True;salaried;False;False;0;False;False;False;False;;False;False;True;False;False;False;2;False;False
23;D;False;35;False;True;X;Head;0;True;self_employed;False;True;0;False;False;True;False;;False;False;True;False;False;False;1;True;False
24;C;False;42;False;True;P;Head;3;True;irregular_seasonal;False;False;0;True;True;False;False;;False;False;True;False;False;False;2;False;False
25;G;False;33;False;True;X;Head;1;True;self_employed;False;True;3;False;True;False;False;;False;True;True;True;False;True;1;True;True
26;C;True;21;False;True;O;Head;0;False;self_employed;False;True;0;False;True;False;False;;False;False;False;False;False;False;2;False;False
27;A;False;86;False;True;Q;Head;2;False;self_employed;False;False;0;False;False;False;False;;False;False;False;False;False;False;2;False;False
28;G;False;26;True;False;X;Son/Daughter;2;False;not_working;False;False;0;False;False;False;False;;False;False;True;True;False;True;2;False;True
29;D;False;43;True;True;X;Spouse;1;True;irregular_seasonal;False;False;0;False;False;True;False;;False;False;True;True;False;False;2;False;False
30;C;False;16;True;False;P;Son/Daughter;1;True;salaried;False;False;1;True;False;False;True;;False;False;False;False;False;False;2;False;False
31;G;False;28;True;True;X;Spouse;1;False;other;False;False;0;False;False;False;False;;False;False;False;True;False;False;2;False;False
32;C;False;31;False;True;Q;Head;1;False;salaried;False;False;0;True;False;False;False;;True;True;True;True;True;False;2;True;True
33;G;True;50;True;False;X;Father/Mother;2;False;self_employed;False;True;1;True;True;True;True;;False;False;True;True;True;True;2;True;True
34;F;True;20;True;False;Q;Son/Daughter;3;False;salaried;False;False;0;True;True;True;False;;False;False;True;True;True;False;2;False;True
35;F;True;35;False;True;Q;Head;2;True;irregular_seasonal;False;True;2;False;False;False;False;;False;False;False;False;False;False;2;False;False
36;F;True;36;True;True;Q;Father/Mother;;False;not_working;False;True;2;False;False;False;False;;False;False;True;False;False;False;2;False;False
37;D;False;44;False;False;Q;Head;1;False;not_working;False;False;3;True;False;False;False;;False;False;True;True;False;False;2;False;False
38;G;False;33;True;True;X;Spouse;1;False;irregular_seasonal;False;False;0;False;False;False;False;;False;False;False;False;False;False;2;True;False
39;C;False;50;False;True;P;Head;0;False;irregular_seasonal;False;False;0;False;True;False;False;;False;False;True;False;False;False;2;False;False
40;F;False;37;False;False;X;Head;2;True;salaried;False;True;1;True;True;False;True;;False;True;True;True;True;False;2;True;True
41;I;False;32;False;True;Q;Son/Daughter;2;False;self_employed;False;True;0;False;False;True;False;;False;False;True;True;False;False;2;True;False
42;C;True;52;True;False;X;Head;1;False;not_working;False;False;1;True;True;False;False;;True;True;True;False;False;False;2;False;True
43;G;False;19;False;False;Q;Head;2;False;self_employed;False;True;0;False;False;True;False;;False;False;True;True;True;True;2;True;True
44;C;False;32;False;True;P;Head;2;False;salaried;False;False;1;True;True;False;True;;True;False;True;True;False;False;2;False;False
45;C;True;22;True;False;P;Son/Daughter;0;True;not_working;False;False;1;False;False;False;False;;False;False;True;False;False;False;1;False;False
46;F;False;35;True;True;Q;Spouse;;False;self_employed;False;False;0;False;False;False;False;;False;False;False;False;False;False;1;True;False
47;I;False;40;True;True;Q;Spouse;0;True;not_working;False;False;0;False;False;False;False;;False;False;False;False;False;False;0;False;False
48;A;True;35;False;True;Q;Head;0;True;self_employed;False;True;1;False;False;True;False;;False;False;True;False;False;False;2;True;False
49;C;False;24;False;True;P;Son/Daughter;1;False;salaried;False;False;1;False;False;False;False;;True;False;True;False;False;False;2;False;False
50;F;False;50;False;True;Q;Head;;False;self_employed;False;True;2;True;False;True;False;;True;False;True;True;True;False;2;True;False
51;F;True;60;False;True;Q;Head;0;False;irregular_seasonal;False;True;2;False;False;False;False;;True;True;True;False;False;False;2;True;False
52;C;False;17;True;False;P;Son/Daughter;2;False;not_working;False;False;1;False;False;False;False;;True;False;False;False;False;False;2;False;False
53;F;True;25;True;True;Q;Other;;False;self_employed;False;True;2;False;False;True;False;;True;False;False;False;False;False;1;True;False
54;G;False;72;False;False;X;Head;1;False;other;False;False;0;False;False;True;False;;False;False;False;False;False;False;2;False;False
55;A;False;50;False;True;P;Head;1;True;self_employed;False;True;2;False;False;False;False;;True;True;False;False;False;False;0;False;False
56;A;False;26;True;True;Q;Spouse;2;True;not_working;False;False;0;False;False;False;False;;False;False;True;False;False;False;1;False;False
57;D;False;58;False;False;Q;Head;0;True;not_working;False;False;1;False;False;False;False;;True;True;False;False;False;False;0;False;False
58;D;False;28;True;True;Q;Spouse;2;False;self_employed;False;True;0;False;False;True;True;;False;False;True;False;False;True;2;True;False
59;F;True;32;False;True;Q;Head;2;True;self_employed;False;True;0;True;False;True;True;;False;False;True;True;True;False;2;True;False
60;A;False;56;False;True;Q;Head;2;True;irregular_seasonal;False;False;1;False;False;False;False;;True;True;False;False;False;False;1;False;False
61;D;False;29;False;False;X;Head;1;False;irregular_seasonal;False;False;2;False;False;True;True;;True;True;True;True;False;False;1;False;False
62;I;True;48;False;True;Q;Head;0;False;salaried;False;False;0;False;False;True;False;;False;False;True;True;False;False;2;False;False
63;A;False;61;True;True;Q;Spouse;0;True;not_working;False;False;0;False;False;False;False;;False;False;True;False;False;False;2;False;True
64;J;False;60;True;True;Q;Spouse;0;False;not_working;False;True;1;False;False;True;False;;False;True;True;False;False;False;0;True;False
